Entity,Code,Day,Total tests,142605-annotations,Total confirmed cases of COVID-19,Total confirmed deaths due to COVID-19 
Liechtenstein,LIE,31-05-2021,1225870,tests performed,78978.42,1520.833
Lithuania,LTU,31-05-2021,1287435,tests performed,100791.209,1567.062
Low income,,31-05-2021,,,1059.819,26.176
Lower middle income,,31-05-2021,,,12266.233,175.004
Luxembourg,LUX,31-05-2021,4640411,tests performed,111716.743,1301.967
Madagascar,MDG,31-05-2021,7355,tests performed,1492.975,30.299
Malawi,MWI,31-05-2021,,,1794.986,60.377
Malaysia,MYS,31-05-2021,372802,people tested,17683.898,86.387
Maldives,MDV,31-05-2021,1634034,samples tested,119132.278,295.999
Mali,MLI,31-05-2021,,,704.514,25.53
Malta,MLT,31-05-2021,2098940,tests performed,69155.839,948.954
Marshall Islands,MHL,31-05-2021,,,67.574,
Mauritania,MRT,31-05-2021,,,4203.963,99.577
Mauritius,MUS,31-05-2021,,,1081.173,14.154
Mexico,MEX,31-05-2021,51729,people tested,18720.937,1733.989
Micronesia (country),FSM,31-05-2021,,,8.694,
Moldova,MDA,31-05-2021,275874,,63259.38,1513.896
Monaco,MCO,31-05-2021,,,63805.932,815.411
Mongolia,MNG,31-05-2021,896666,samples tested,17826.051,84.19
Montenegro,MNE,31-05-2021,,,158619.69,2522.044
Morocco,MAR,31-05-2021,162374,people tested,14066.869,247.815
Mozambique,MOZ,31-05-2021,17716,units unclear,2265.046,26.747
Myanmar,MMR,31-05-2021,48179,samples tested,2639.764,59.125
Namibia,NAM,31-05-2021,171458,samples tested,21861.801,326.654
Nepal,NPL,31-05-2021,104933,tests performed,19264.361,253.494
Netherlands,NLD,31-05-2021,,,97855.642,1044.478
New Zealand,NZL,31-05-2021,443848,tests performed,554.515,5.392
Nicaragua,NIC,31-05-2021,,,1105.584,28.077
Niger,NER,31-05-2021,,,223.492,7.932
Nigeria,NGA,31-05-2021,10348,samples tested,807.792,10.182
North America,,31-05-2021,,,65702.459,1482.755
North Macedonia,MKD,31-05-2021,,,74528.891,2598.182
