OBJECTID,LE_ID,ENGLISH,COUNTY,GUID,P14_100k,EventDate
2562,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,15.5,2020/09/07 00:00:00+00
2563,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,12.9,2020/08/31 00:00:00+00
2564,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,18.1,2020/08/24 00:00:00+00
2565,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,12.9,2020/08/17 00:00:00+00
2566,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,0,2020/08/10 00:00:00+00
2567,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,147.9,2020/11/23 00:00:00+00
2568,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,131.2,2020/11/16 00:00:00+00
2569,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,147.9,2020/11/09 00:00:00+00
2570,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,245.6,2020/11/02 00:00:00+00
2571,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,307,2020/10/26 00:00:00+00
2572,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,281.9,2020/10/19 00:00:00+00
2573,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,256.7,2020/10/12 00:00:00+00
2574,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,223.3,2020/10/05 00:00:00+00
2575,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,175.8,2020/09/28 00:00:00+00
2576,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,170.2,2020/09/21 00:00:00+00
2577,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,128.4,2020/09/14 00:00:00+00
2578,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,80.9,2020/09/07 00:00:00+00
2579,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,67,2020/08/31 00:00:00+00
2580,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,36.3,2020/08/24 00:00:00+00
2581,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,0,2020/08/17 00:00:00+00
2582,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,0,2020/08/10 00:00:00+00
2583,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/11/23 00:00:00+00
2584,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,22.3,2020/11/16 00:00:00+00
2585,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,107,2020/11/09 00:00:00+00
2586,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,129.3,2020/11/02 00:00:00+00
2587,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,187.3,2020/10/26 00:00:00+00
2588,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,227.4,2020/10/19 00:00:00+00
